size(kb) num_mutants num_tests
2 370 1 /scratch/alipour/data-mu-issta2015/json/webapp-runner.sqlite.db
15 2151 9 /scratch/alipour/data-mu-issta2015/json/Tudu-Lists.sqlite.db
6 4767 3 /scratch/alipour/data-mu-issta2015/json/menagerie.sqlite.db
2219 1715 125 /scratch/alipour/data-mu-issta2015/json/java-api-wrapper.sqlite.db
891 1308 73 /scratch/alipour/data-mu-issta2015/json/sorting.sqlite.db
39 2453 4 /scratch/alipour/data-mu-issta2015/json/johm.sqlite.db
609 1810 13 /scratch/alipour/data-mu-issta2015/json/discovery.sqlite.db
0 1904 0 /scratch/alipour/data-mu-issta2015/json/DynamicRecruiter.sqlite.db
0 3143 0 /scratch/alipour/data-mu-issta2015/json/MeteorMiner.sqlite.db
398 1015 50 /scratch/alipour/data-mu-issta2015/json/sandbox-resources.sqlite.db
534 905 23 /scratch/alipour/data-mu-issta2015/json/jcli.sqlite.db
292 638 16 /scratch/alipour/data-mu-issta2015/json/finder.sqlite.db
241 641 31 /scratch/alipour/data-mu-issta2015/json/jackson-datatype-guava.sqlite.db
771 2168 21 /scratch/alipour/data-mu-issta2015/json/LittleProxy.sqlite.db
485 1201 14 /scratch/alipour/data-mu-issta2015/json/maven-yamlpom-plugin.sqlite.db
28 178 2 /scratch/alipour/data-mu-issta2015/json/NervousNetwork.sqlite.db
6455 11553 918 /scratch/alipour/data-mu-issta2015/json/sandbox-primitives.sqlite.db
330 1908 20 /scratch/alipour/data-mu-issta2015/json/pignlproc.sqlite.db
47 4529 2 /scratch/alipour/data-mu-issta2015/json/Hive-JSON-Serde.sqlite.db
0 10 1 /scratch/alipour/data-mu-issta2015/json/ringo.sqlite.db
0 711 0 /scratch/alipour/data-mu-issta2015/json/gabvargasuabcoop1pro7mvc.sqlite.db
1 140 2 /scratch/alipour/data-mu-issta2015/json/spring-example.sqlite.db
0 289 1 /scratch/alipour/data-mu-issta2015/json/tapas2go.sqlite.db
42 321 10 /scratch/alipour/data-mu-issta2015/json/mater-dei.sqlite.db
17 47 7 /scratch/alipour/data-mu-issta2015/json/moneybag.sqlite.db
697 3391 81 /scratch/alipour/data-mu-issta2015/json/once.sqlite.db
136 474 10 /scratch/alipour/data-mu-issta2015/json/belteshazzar-geojson.sqlite.db
0 897 0 /scratch/alipour/data-mu-issta2015/json/concurrent.sqlite.db
2348 19748 33 /scratch/alipour/data-mu-issta2015/json/JCloisterZone.sqlite.db
1 158 1 /scratch/alipour/data-mu-issta2015/json/hello-easyui.sqlite.db
48 271 8 /scratch/alipour/data-mu-issta2015/json/xpathapi-jaxp.sqlite.db
10 673 1 /scratch/alipour/data-mu-issta2015/json/db-migration-cmdline.sqlite.db
0 8 3 /scratch/alipour/data-mu-issta2015/json/calc.sqlite.db
1267 8836 72 /scratch/alipour/data-mu-issta2015/json/linq4j.sqlite.db
4 93 2 /scratch/alipour/data-mu-issta2015/json/threadpool.sqlite.db
38 8848 8 /scratch/alipour/data-mu-issta2015/json/PermissionsEx.sqlite.db
2 107 1 /scratch/alipour/data-mu-issta2015/json/dropwizard-gelf.sqlite.db
0 17 0 /scratch/alipour/data-mu-issta2015/json/jbinlog.sqlite.db
36 533 1 /scratch/alipour/data-mu-issta2015/json/lesscss-engine.sqlite.db
141 2213 12 /scratch/alipour/data-mu-issta2015/json/ToHPluginUtils.sqlite.db
92 957 4 /scratch/alipour/data-mu-issta2015/json/codecombine.sqlite.db
462 680 56 /scratch/alipour/data-mu-issta2015/json/gcm-server.sqlite.db
115 1616 9 /scratch/alipour/data-mu-issta2015/json/spring-integration-aws.sqlite.db
0 368 1 /scratch/alipour/data-mu-issta2015/json/graphviz4java.sqlite.db
18 2680 2 /scratch/alipour/data-mu-issta2015/json/spring-rest-api-docs-maven-plugin.sqlite.db
14 455 4 /scratch/alipour/data-mu-issta2015/json/swiftriver-core-rules-processor.sqlite.db
67 584 6 /scratch/alipour/data-mu-issta2015/json/ketterat.sqlite.db
330 2935 18 /scratch/alipour/data-mu-issta2015/json/twilio-java.sqlite.db
130 462 8 /scratch/alipour/data-mu-issta2015/json/cmdline.sqlite.db
63 803 6 /scratch/alipour/data-mu-issta2015/json/cli-util.sqlite.db
3148 4096 64 /scratch/alipour/data-mu-issta2015/json/jchronic.sqlite.db
0 1397 0 /scratch/alipour/data-mu-issta2015/json/nettyrider.sqlite.db
277 909 18 /scratch/alipour/data-mu-issta2015/json/jterminal.sqlite.db
0 1754 0 /scratch/alipour/data-mu-issta2015/json/nash.sqlite.db
545 1619 94 /scratch/alipour/data-mu-issta2015/json/scribe-java.sqlite.db
357 1745 69 /scratch/alipour/data-mu-issta2015/json/jots.sqlite.db
0 161 2 /scratch/alipour/data-mu-issta2015/json/Ex23maven.sqlite.db
6367 9801 174 /scratch/alipour/data-mu-issta2015/json/faunus.sqlite.db
570 1399 12 /scratch/alipour/data-mu-issta2015/json/commons-inject.sqlite.db
67 636 8 /scratch/alipour/data-mu-issta2015/json/lucene-interval-fields.sqlite.db
686 14007 16 /scratch/alipour/data-mu-issta2015/json/clj-ds.sqlite.db
31 116 9 /scratch/alipour/data-mu-issta2015/json/sample.sqlite.db
166 357 25 /scratch/alipour/data-mu-issta2015/json/swingbinding.sqlite.db
230 758 40 /scratch/alipour/data-mu-issta2015/json/Missile-Command.sqlite.db
8 3906 81 /scratch/alipour/data-mu-issta2015/json/mongo-java-server.sqlite.db
1598 7154 90 /scratch/alipour/data-mu-issta2015/json/xmemcached.sqlite.db
12310 2705 365 /scratch/alipour/data-mu-issta2015/json/cli.sqlite.db
22 1935 7 /scratch/alipour/data-mu-issta2015/json/greplin-lucene-utils.sqlite.db
46 1885 3 /scratch/alipour/data-mu-issta2015/json/FilmeUtils.sqlite.db
3614 15530 215 /scratch/alipour/data-mu-issta2015/json/asterisk-java.sqlite.db
33 1069 3 /scratch/alipour/data-mu-issta2015/json/ZombieLink.sqlite.db
13448 24681 2348 /scratch/alipour/data-mu-issta2015/json/collections.sqlite.db
15 66 6 /scratch/alipour/data-mu-issta2015/json/coffeecan.sqlite.db
164 368 19 /scratch/alipour/data-mu-issta2015/json/Bit-lib4j.sqlite.db
0 408 0 /scratch/alipour/data-mu-issta2015/json/elasticsearch-river-rabbitmq.sqlite.db
77 180 12 /scratch/alipour/data-mu-issta2015/json/hayescommandset-test.sqlite.db
1958 2577 45 /scratch/alipour/data-mu-issta2015/json/low-gc-membuffers.sqlite.db
345 848 7 /scratch/alipour/data-mu-issta2015/json/wikihadoop.sqlite.db
2407 1188 112 /scratch/alipour/data-mu-issta2015/json/config-magic.sqlite.db
25 578 22 /scratch/alipour/data-mu-issta2015/json/shell-task-pool.sqlite.db
386 4587 14 /scratch/alipour/data-mu-issta2015/json/jesque.sqlite.db
0 24 0 /scratch/alipour/data-mu-issta2015/json/camel-ical.sqlite.db
0 2331 0 /scratch/alipour/data-mu-issta2015/json/heapaudit.sqlite.db
86 271 5 /scratch/alipour/data-mu-issta2015/json/greplin-zookeeper-utils.sqlite.db
244 4040 11 /scratch/alipour/data-mu-issta2015/json/lexevs-service.sqlite.db
172 358 5 /scratch/alipour/data-mu-issta2015/json/pma-uglyTriviaGame.sqlite.db
333 256 36 /scratch/alipour/data-mu-issta2015/json/jargs.sqlite.db
0 444 0 /scratch/alipour/data-mu-issta2015/json/custom-mlt.sqlite.db
0 559 0 /scratch/alipour/data-mu-issta2015/json/Global-Health-Explorer.sqlite.db
4 137 3 /scratch/alipour/data-mu-issta2015/json/properly.sqlite.db
1 2194 1 /scratch/alipour/data-mu-issta2015/json/javaflow.sqlite.db
65 713 3 /scratch/alipour/data-mu-issta2015/json/tc-opts.sqlite.db
42 276 2 /scratch/alipour/data-mu-issta2015/json/commons-jcs-jcache-openjpa.sqlite.db
13 214 8 /scratch/alipour/data-mu-issta2015/json/ambra-registration.sqlite.db
2 1189 2 /scratch/alipour/data-mu-issta2015/json/ws.sqlite.db
112 3101 25 /scratch/alipour/data-mu-issta2015/json/moonjava-flight-web.sqlite.db
224 702 16 /scratch/alipour/data-mu-issta2015/json/gelfj.sqlite.db
253 718 10 /scratch/alipour/data-mu-issta2015/json/swagger4spring-web.sqlite.db
17 5678 3 /scratch/alipour/data-mu-issta2015/json/java-cloudfiles.sqlite.db
0 542 1 /scratch/alipour/data-mu-issta2015/json/socketio-netty.sqlite.db
19 406 1 /scratch/alipour/data-mu-issta2015/json/unirest-java.sqlite.db
0 1627 0 /scratch/alipour/data-mu-issta2015/json/daoDemo.sqlite.db
309 2512 11 /scratch/alipour/data-mu-issta2015/json/joda-money.sqlite.db
340 2837 6 /scratch/alipour/data-mu-issta2015/json/commons-jcs-jcache.sqlite.db
1010 1949 97 /scratch/alipour/data-mu-issta2015/json/id.sqlite.db
12 114 4 /scratch/alipour/data-mu-issta2015/json/github-plugin.sqlite.db
603 12030 102 /scratch/alipour/data-mu-issta2015/json/mgwt.sqlite.db
0 304 0 /scratch/alipour/data-mu-issta2015/json/HTTPjava.sqlite.db
0 294 0 /scratch/alipour/data-mu-issta2015/json/roboguice-sherlock.sqlite.db
8 124 5 /scratch/alipour/data-mu-issta2015/json/mapper.sqlite.db
0 3 0 /scratch/alipour/data-mu-issta2015/json/systemConfiguration.sqlite.db
51 620 2 /scratch/alipour/data-mu-issta2015/json/money.sqlite.db
132 2989 27 /scratch/alipour/data-mu-issta2015/json/lettuce.sqlite.db
2543 1171 180 /scratch/alipour/data-mu-issta2015/json/events.sqlite.db
0 728 0 /scratch/alipour/data-mu-issta2015/json/winkjs.sqlite.db
791 3188 56 /scratch/alipour/data-mu-issta2015/json/pipeline.sqlite.db
1 148 1 /scratch/alipour/data-mu-issta2015/json/AppDev-CIT.sqlite.db
0 165 0 /scratch/alipour/data-mu-issta2015/json/glumox.sqlite.db
11 339 3 /scratch/alipour/data-mu-issta2015/json/HBaseWD.sqlite.db
2615 5489 37 /scratch/alipour/data-mu-issta2015/json/jelly.sqlite.db
107 4987 8 /scratch/alipour/data-mu-issta2015/json/modeler.sqlite.db
0 42 0 /scratch/alipour/data-mu-issta2015/json/spring3part7.sqlite.db
465 1527 11 /scratch/alipour/data-mu-issta2015/json/sandbox-convert.sqlite.db
417 1695 9 /scratch/alipour/data-mu-issta2015/json/elasticsearch-jetty.sqlite.db
6455 11553 918 /scratch/alipour/data-mu-issta2015/json/primitives.sqlite.db
0 246 1 /scratch/alipour/data-mu-issta2015/json/spring-mvc-31-demo.sqlite.db
88 192 13 /scratch/alipour/data-mu-issta2015/json/sjdbcx.sqlite.db
70 671 20 /scratch/alipour/data-mu-issta2015/json/physiotoolkit-wrapper.sqlite.db
30 29067 4 /scratch/alipour/data-mu-issta2015/json/MyPet.sqlite.db
0 7773 0 /scratch/alipour/data-mu-issta2015/json/mcMMO.sqlite.db
6 409 1 /scratch/alipour/data-mu-issta2015/json/jabara-general.sqlite.db
4571 26622 171 /scratch/alipour/data-mu-issta2015/json/hank.sqlite.db
0 885 0 /scratch/alipour/data-mu-issta2015/json/cassandra-tutorial.sqlite.db
1 432 6 /scratch/alipour/data-mu-issta2015/json/CMQueue.sqlite.db
14306 9983 622 /scratch/alipour/data-mu-issta2015/json/commons-codec.sqlite.db
10 244 4 /scratch/alipour/data-mu-issta2015/json/algorithms.sqlite.db
0 2770 0 /scratch/alipour/data-mu-issta2015/json/jcommander.sqlite.db
1 78 1 /scratch/alipour/data-mu-issta2015/json/tutorial.sqlite.db
2037 1883 23 /scratch/alipour/data-mu-issta2015/json/comzwitserlootcmdreader.sqlite.db
0 4878 1 /scratch/alipour/data-mu-issta2015/json/jeasywebframework.sqlite.db
56 196 8 /scratch/alipour/data-mu-issta2015/json/elasticflume.sqlite.db
30554 7754 278 /scratch/alipour/data-mu-issta2015/json/jdbi.sqlite.db
37 396 1 /scratch/alipour/data-mu-issta2015/json/Dita-13-ScopedKeyspacePOC.sqlite.db
5433 3780 148 /scratch/alipour/data-mu-issta2015/json/webbit.sqlite.db
2769 1908 301 /scratch/alipour/data-mu-issta2015/json/mirror.sqlite.db
264 508 22 /scratch/alipour/data-mu-issta2015/json/openpgp.sqlite.db
1594 3216 138 /scratch/alipour/data-mu-issta2015/json/pipes.sqlite.db
764 1226 31 /scratch/alipour/data-mu-issta2015/json/tenpinj.sqlite.db
0 1061 0 /scratch/alipour/data-mu-issta2015/json/hadoop-test.sqlite.db
18 64 5 /scratch/alipour/data-mu-issta2015/json/systemeDeFichier.sqlite.db
12 139 2 /scratch/alipour/data-mu-issta2015/json/JEmailer.sqlite.db
249 565 35 /scratch/alipour/data-mu-issta2015/json/i18n.sqlite.db
1676 5242 140 /scratch/alipour/data-mu-issta2015/json/clazz.sqlite.db
45 232 6 /scratch/alipour/data-mu-issta2015/json/EventProcessing.sqlite.db
34 2323 27 /scratch/alipour/data-mu-issta2015/json/grails-maven.sqlite.db
30 2132 2 /scratch/alipour/data-mu-issta2015/json/latka.sqlite.db
4414 33021 76 /scratch/alipour/data-mu-issta2015/json/bcel.sqlite.db
988 10458 5 /scratch/alipour/data-mu-issta2015/json/el.sqlite.db
0 88 0 /scratch/alipour/data-mu-issta2015/json/jerspring.sqlite.db
4 57 1 /scratch/alipour/data-mu-issta2015/json/WebStubDemo.sqlite.db
18 6522 5 /scratch/alipour/data-mu-issta2015/json/MineBans.sqlite.db
0 519 0 /scratch/alipour/data-mu-issta2015/json/hon-lucene-synonyms.sqlite.db
9464 3618 97 /scratch/alipour/data-mu-issta2015/json/jade4j.sqlite.db
633 2069 142 /scratch/alipour/data-mu-issta2015/json/mercurial-plugin.sqlite.db
0 282 0 /scratch/alipour/data-mu-issta2015/json/jdbi-annotation.sqlite.db
1280 898 37 /scratch/alipour/data-mu-issta2015/json/avalon-cli.sqlite.db
2068 1030 141 /scratch/alipour/data-mu-issta2015/json/command-me.sqlite.db
232 8200 4 /scratch/alipour/data-mu-issta2015/json/jreversepro.sqlite.db
533 1587 18 /scratch/alipour/data-mu-issta2015/json/jmimemagic.sqlite.db
60 2525 31 /scratch/alipour/data-mu-issta2015/json/akela.sqlite.db
63 330 6 /scratch/alipour/data-mu-issta2015/json/logback-gelf.sqlite.db
